date,state,city,killed,injured,incident,victims,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2013-07-06,Alabama,Florence,0,4,http://www.gunviolencearchive.org/incident/490395,4,"34.7982, -87.6854",Congressional District: 5,NA,NA,NA,NA
2013-07-06,New York,Brooklyn,1,3,http://www.gunviolencearchive.org/incident/490750,4,"40.6987, -73.95",Congressional District: 7,NA,NA,NA,NA
2013-07-04,Michigan,Pontiac,1,6,http://www.gunviolencearchive.org/incident/490351,7,"42.6482, -83.2871",Congressional District: 14,NA,NA,NA,NA
2013-07-04,Illinois,Chicago,0,4,http://www.gunviolencearchive.org/incident/490335,4,"41.7858, -87.6061",Congressional District: 1,NA,NA,NA,NA
2013-07-01,Texas,Fort Worth,4,0,http://www.gunviolencearchive.org/incident/490245,4,"32.7157, -97.2597",Congressional District: 33,NA,NA,NA,NA
2013-06-30,New York,Brooklyn,0,9,http://www.gunviolencearchive.org/incident/490226,9,"40.6452, -73.928",Congressional District: 9,NA,NA,NA,NA
2013-06-30,Colorado,Aurora,0,4,http://www.gunviolencearchive.org/incident/490166,4,"39.7512, -104.848",Congressional District: 6,NA,NA,NA,NA
2013-06-29,South Carolina,North Charleston,3,1,http://www.gunviolencearchive.org/incident/490150,4,"32.8549, -80.0122",Congressional District: 6,NA,NA,NA,NA
2013-06-28,Illinois,Chicago,0,6,http://www.gunviolencearchive.org/incident/490115,6,"41.9691, -87.6548",Congressional District: 9,NA,NA,NA,NA
2013-06-27,California,Three Rivers,2,2,http://www.gunviolencearchive.org/incident/490048,4,"36.4144, -118.925",Congressional District: 23,NA,NA,NA,NA
2013-06-25,Illinois,Chicago,1,4,http://www.gunviolencearchive.org/incident/489987,5,"41.7621, -87.6152",Congressional District: 1,NA,NA,NA,NA
2013-06-24,Missouri,Kansas City,1,3,http://www.gunviolencearchive.org/incident/489934,4,"39.0914, -94.5484",Congressional District: 5,NA,NA,NA,NA
2013-06-23,Virginia,Virginia Beach,1,4,http://www.gunviolencearchive.org/incident/489129,5,"36.841, -76.1371",Congressional District: 2,NA,NA,NA,NA
2013-06-23,Louisiana,New Orleans,0,4,http://www.gunviolencearchive.org/incident/489121,4,"30.0165, -90.0689",Congressional District: 2,NA,NA,NA,40 SW
2013-06-23,Missouri,Kansas City,1,8,http://www.gunviolencearchive.org/incident/489105,9,"39.0891, -94.5518",Congressional District: 5,NA,NA,NA,NA
2013-06-23,California,Sacramento,1,3,http://www.gunviolencearchive.org/incident/489096,4,"38.4655, -121.459",Congressional District: 6,NA,NA,NA,NA
2013-06-23,Tennessee,Chattanooga,1,4,http://www.gunviolencearchive.org/incident/489061,5,"35.0221, -85.2697",Congressional District: 3,NA,NA,NA,NA
2013-06-22,Rhode Island,Providence,0,4,http://www.gunviolencearchive.org/incident/488970,4,"41.8217, -71.4496",Congressional District: 2,NA,NA,NA,NA
2013-06-22,Maryland,Baltimore,1,4,http://www.gunviolencearchive.org/incident/488833,5,"39.2991, -76.5783",Congressional District: 7,NA,NA,NA,NA
2013-06-21,Illinois,Chicago,1,3,http://www.gunviolencearchive.org/incident/488426,4,"41.9335, -87.7445",Congressional District: 4,NA,NA,NA,NA
2013-06-21,North Carolina,Greenville,0,5,http://www.gunviolencearchive.org/incident/488547,5,"35.5744, -77.3873",Congressional District: 1,NA,NA,NA,NA
2013-06-21,Virginia,Norfolk,0,6,http://www.gunviolencearchive.org/incident/488505,6,"36.8571, -76.2735",Congressional District: 3,NA,NA,NA,NA
2013-06-16,Illinois,Chicago,1,3,http://www.gunviolencearchive.org/incident/488134,4,"41.7513, -87.6027",Congressional District: 1,NA,NA,NA,NA
2013-06-15,Texas,Houston,1,3,http://www.gunviolencearchive.org/incident/487891,4,"29.6754, -95.5499",Congressional District: 9,NA,NA,NA,NA
2013-06-15,Tennessee,Nashville,0,4,http://www.gunviolencearchive.org/incident/487833,4,"36.1646, -86.7771",Congressional District: 5,NA,NA,NA,NA
