date,state,city,killed,injured,incident,victims
2013-03-07,Mississippi,Jackson,2,2,http://www.gunviolencearchive.org/incident/481229,4
2013-03-05,Indiana,Indianapolis,1,3,http://www.gunviolencearchive.org/incident/481220,4
2013-03-04,California,Los Banos,1,3,http://www.gunviolencearchive.org/incident/481213,4
2013-03-03,Michigan,Saginaw (county),0,4,http://www.gunviolencearchive.org/incident/481208,4
2013-03-03,Georgia,Moultrie,2,2,http://www.gunviolencearchive.org/incident/481198,4
2013-03-02,Louisiana,Shreveport,1,3,http://www.gunviolencearchive.org/incident/481186,4
2013-02-24,Georgia,Macon,0,8,http://www.gunviolencearchive.org/incident/480443,8
2013-02-23,California,Lancaster,0,4,http://www.gunviolencearchive.org/incident/480407,4
2013-02-22,Michigan,Grand Rapids,0,4,http://www.gunviolencearchive.org/incident/480401,4
2013-02-21,Oklahoma,Tulsa,1,3,http://www.gunviolencearchive.org/incident/480383,4
2013-02-19,California,Orange (county),4,3,http://www.gunviolencearchive.org/incident/480358,7
2013-02-12,Utah,Midvale,4,1,http://www.gunviolencearchive.org/incident/480344,5
2013-02-11,Delaware,Wilmington,3,2,http://www.gunviolencearchive.org/incident/480327,5
2013-02-11,California,Vallejo,1,4,http://www.gunviolencearchive.org/incident/480311,5
2013-02-09,Louisiana,New Orleans,0,4,http://www.gunviolencearchive.org/incident/479603,4
2013-02-07,Illinois,Chicago,0,4,http://www.gunviolencearchive.org/incident/479592,4
2013-02-03,California,Yuba (county),1,3,http://www.gunviolencearchive.org/incident/479580,4
2013-02-02,Tennessee,Memphis,0,5,http://www.gunviolencearchive.org/incident/479573,5
2013-01-26,Ohio,Springfield,1,3,http://www.gunviolencearchive.org/incident/479460,4
2013-01-26,District of Columbia,Washington,0,5,http://www.gunviolencearchive.org/incident/479554,5
2013-01-26,Louisiana,Charenton,2,3,http://www.gunviolencearchive.org/incident/479561,5
2013-01-25,Missouri,Saint Louis,1,3,http://www.gunviolencearchive.org/incident/479413,4
2013-01-23,Tennessee,Chattanooga,1,3,http://www.gunviolencearchive.org/incident/491674,4
2013-01-23,Maryland,Baltimore,1,6,http://www.gunviolencearchive.org/incident/492151,7
2013-01-21,California,Brentwood,0,4,http://www.gunviolencearchive.org/incident/479389,4
2013-01-21,Louisiana,New Orleans,0,5,http://www.gunviolencearchive.org/incident/479374,5
2013-01-19,New Mexico,Albuquerque,5,0,http://www.gunviolencearchive.org/incident/479363,5
2013-01-07,Oklahoma,Tulsa,4,0,http://www.gunviolencearchive.org/incident/478948,4
2013-01-01,California,Hawthorne,1,3,http://www.gunviolencearchive.org/incident/460726,4
2013-01-01,Pennsylvania,Mckeesport,0,4,http://www.gunviolencearchive.org/incident/461105,4
2014-12-29,Louisiana,New Orleans,0,4,http://www.gunviolencearchive.org/incident/271363,4
2014-12-27,California,Los Angeles,1,3,http://www.gunviolencearchive.org/incident/269679,4
2014-12-27,California,Sacramento,0,4,http://www.gunviolencearchive.org/incident/270036,4
2014-12-26,Illinois,East St. Louis,1,3,http://www.gunviolencearchive.org/incident/269167,4
2014-12-24,Missouri,Saint Louis,1,3,http://www.gunviolencearchive.org/incident/268598,4
2014-12-23,Kentucky,Winchester,1,3,http://www.gunviolencearchive.org/incident/267792,4
2014-12-22,Michigan,Detroit,1,3,http://www.gunviolencearchive.org/incident/268282,4
2014-12-22,New York,Webster,4,2,http://www.gunviolencearchive.org/incident/282186,6
2014-12-22,Illinois,Chicago,0,5,http://www.gunviolencearchive.org/incident/267721,5
2014-12-21,Florida,Sarasota,2,2,http://www.gunviolencearchive.org/incident/266570,4
2014-12-21,Mississippi,Waynesboro,1,4,http://www.gunviolencearchive.org/incident/268910,5
2014-12-21,Illinois,Calumet City,1,8,http://www.gunviolencearchive.org/incident/266424,9
2014-12-20,Illinois,Rockford,4,0,http://www.gunviolencearchive.org/incident/266407,4
2014-12-16,New Jersey,Elizabeth,0,4,http://www.gunviolencearchive.org/incident/264901,4
2014-12-15,Pennsylvania,Lansdale,7,0,http://www.gunviolencearchive.org/incident/263556,7
2014-12-14,Florida,Miami,1,4,http://www.gunviolencearchive.org/incident/263376,5
2014-12-13,Florida,Tampa,0,5,http://www.gunviolencearchive.org/incident/263382,5
2014-12-12,Oregon,Portland,0,4,http://www.gunviolencearchive.org/incident/262202,4
2014-12-07,Indiana,South Bend,0,4,http://www.gunviolencearchive.org/incident/259935,4
2014-12-02,Missouri,Saint Louis,1,5,http://www.gunviolencearchive.org/incident/227011,6
2014-12-02,Virginia,Newport News,0,5,http://www.gunviolencearchive.org/incident/226983,5
2014-11-30,New York,Brooklyn,0,4,http://www.gunviolencearchive.org/incident/226388,4
2014-11-30,Tennessee,Chattanooga,0,5,http://www.gunviolencearchive.org/incident/226534,5
2014-11-29,Georgia,Atlanta,3,2,http://www.gunviolencearchive.org/incident/225903,5
2014-11-29,New Jersey,Newark,1,3,http://www.gunviolencearchive.org/incident/226150,4
2014-11-28,Tennessee,Memphis,0,4,http://www.gunviolencearchive.org/incident/225830,4
2014-11-27,Texas,Georgetown,2,3,http://www.gunviolencearchive.org/incident/226018,5
2014-11-26,California,San Francisco,0,6,http://www.gunviolencearchive.org/incident/225036,6
2014-11-23,Virginia,Parksley,0,4,http://www.gunviolencearchive.org/incident/224362,4
2014-11-23,Colorado,Denver,1,4,http://www.gunviolencearchive.org/incident/224131,5
2014-11-22,Ohio,Cleveland,4,1,http://www.gunviolencearchive.org/incident/223651,5
2014-11-22,South Dakota,Sisseton,4,1,http://www.gunviolencearchive.org/incident/223799,5
2014-11-22,Ohio,Springfield,1,3,http://www.gunviolencearchive.org/incident/223729,4
2014-11-21,Pennsylvania,Pittsburgh,0,6,http://www.gunviolencearchive.org/incident/223582,6
2014-11-19,Illinois,Chicago,1,3,http://www.gunviolencearchive.org/incident/222792,4
2014-11-18,Nevada,North Las Vegas,0,4,http://www.gunviolencearchive.org/incident/222393,4
2014-11-16,Ohio,Akron,1,4,http://www.gunviolencearchive.org/incident/221554,5
2014-11-16,Texas,El Paso,0,6,http://www.gunviolencearchive.org/incident/224746,6
2014-11-15,Missouri,Springfield,4,0,http://www.gunviolencearchive.org/incident/221347,4
2014-11-15,Florida,Miami,1,3,http://www.gunviolencearchive.org/incident/221577,4
2014-11-08,California,Pomona,0,5,http://www.gunviolencearchive.org/incident/217831,5
2014-11-07,California,Compton,0,4,http://www.gunviolencearchive.org/incident/217401,4
2014-11-07,California,Los Angeles,0,4,http://www.gunviolencearchive.org/incident/218054,4
2014-11-05,California,San Francisco,0,4,http://www.gunviolencearchive.org/incident/216533,4
2014-10-29,Tennessee,Memphis,0,5,http://www.gunviolencearchive.org/incident/212884,5
2014-10-26,Kentucky,Cadiz,4,0,http://www.gunviolencearchive.org/incident/211348,4
2014-10-24,California,Sacramento,2,3,http://www.gunviolencearchive.org/incident/210151,5
2014-10-24,Washington,Marysville,5,1,http://www.gunviolencearchive.org/incident/210363,6
2014-10-18,New York,Queens,0,4,http://www.gunviolencearchive.org/incident/209134,4
2014-10-18,South Carolina,Graniteville,1,3,http://www.gunviolencearchive.org/incident/207145,4
2014-10-18,New York,Brooklyn,0,4,http://www.gunviolencearchive.org/incident/207687,4
2014-10-16,Michigan,Detroit,1,3,http://www.gunviolencearchive.org/incident/206303,4
